seller_id,seller_name,tier,join_date,country,verified,tenure_days
S0001,Seller_1,bronze,2023-03-21,US,True,316
S0002,Seller_2,platinum,2023-08-28,US,True,156
S0003,Seller_3,silver,2022-12-12,US,True,415
S0004,Seller_4,silver,2022-12-16,UK,True,411
S0005,Seller_5,bronze,2022-09-30,US,True,488
S0006,Seller_6,bronze,2023-01-27,US,True,369
S0007,Seller_7,bronze,2023-03-14,CA,True,323
S0008,Seller_8,gold,2023-01-15,AU,False,381
S0009,Seller_9,silver,2023-02-22,US,False,343
S0010,Seller_10,silver,2023-04-12,US,True,294
S0011,Seller_11,bronze,2023-06-28,UK,False,217
S0012,Seller_12,platinum,2023-02-27,US,True,338
S0013,Seller_13,gold,2023-02-08,US,True,357
S0014,Seller_14,bronze,2022-12-09,US,True,418
S0015,Seller_15,bronze,2023-04-20,US,True,286
S0016,Seller_16,bronze,2023-05-29,CA,True,247
S0017,Seller_17,bronze,2023-05-15,US,True,261
S0018,Seller_18,silver,2023-06-29,CA,True,216
S0019,Seller_19,bronze,2023-08-15,UK,True,169
S0020,Seller_20,bronze,2022-11-14,US,False,443
S0021,Seller_21,silver,2023-02-22,US,False,343
S0022,Seller_22,bronze,2023-09-07,US,True,146
S0023,Seller_23,bronze,2023-04-05,UK,False,301
S0024,Seller_24,bronze,2022-12-30,US,False,397
S0025,Seller_25,bronze,2022-11-13,US,False,444
S0026,Seller_26,silver,2023-02-25,UK,True,340
S0027,Seller_27,bronze,2022-12-10,US,False,417
S0028,Seller_28,silver,2023-02-11,US,True,354
S0029,Seller_29,silver,2023-06-30,US,False,215
S0030,Seller_30,bronze,2023-07-23,US,False,192
S0031,Seller_31,silver,2023-04-24,AU,True,282
S0032,Seller_32,bronze,2023-01-03,US,False,393
S0033,Seller_33,bronze,2023-04-17,UK,False,289
S0034,Seller_34,gold,2023-07-20,US,False,195
S0035,Seller_35,platinum,2023-01-02,UK,True,394
S0036,Seller_36,gold,2023-01-03,US,True,393
S0037,Seller_37,bronze,2023-07-26,US,True,189
S0038,Seller_38,bronze,2023-02-23,DE,False,342
S0039,Seller_39,silver,2023-06-12,CA,True,233
S0040,Seller_40,bronze,2022-12-14,AU,True,413
S0041,Seller_41,bronze,2022-09-16,US,True,502
S0042,Seller_42,bronze,2023-07-12,US,True,203
S0043,Seller_43,bronze,2023-08-03,US,False,181
S0044,Seller_44,gold,2022-12-15,UK,False,412
S0045,Seller_45,bronze,2023-05-02,US,True,274
S0046,Seller_46,silver,2023-01-06,CA,False,390
S0047,Seller_47,bronze,2023-06-02,US,True,243
S0048,Seller_48,silver,2022-11-15,DE,True,442
S0049,Seller_49,silver,2023-04-28,UK,False,278
S0050,Seller_50,bronze,2023-04-17,CA,True,289
S0051,Seller_51,platinum,2022-12-30,US,True,397
S0052,Seller_52,silver,2023-07-20,US,False,195
S0053,Seller_53,gold,2022-11-28,UK,True,429
S0054,Seller_54,gold,2022-10-07,US,True,481
S0055,Seller_55,silver,2023-08-12,US,True,172
S0056,Seller_56,gold,2022-08-10,DE,True,539
S0057,Seller_57,bronze,2023-08-28,CA,True,156
S0058,Seller_58,bronze,2023-06-08,US,True,237
S0059,Seller_59,bronze,2023-04-19,US,False,287
S0060,Seller_60,bronze,2022-12-26,US,False,401
S0061,Seller_61,bronze,2022-09-14,CA,False,504
S0062,Seller_62,bronze,2023-01-15,US,False,381
S0063,Seller_63,gold,2022-08-17,US,True,532
S0064,Seller_64,bronze,2023-03-29,US,True,308
S0065,Seller_65,bronze,2022-11-15,US,True,442
S0066,Seller_66,silver,2023-01-02,UK,True,394
S0067,Seller_67,bronze,2023-06-08,US,True,237
S0068,Seller_68,gold,2023-03-04,AU,True,333
S0069,Seller_69,bronze,2022-12-17,US,True,410
S0070,Seller_70,platinum,2023-01-07,US,False,389
S0071,Seller_71,silver,2022-10-01,US,False,487
S0072,Seller_72,bronze,2022-12-06,US,True,421
S0073,Seller_73,bronze,2023-01-16,AU,True,380
S0074,Seller_74,gold,2022-12-02,UK,True,425
S0075,Seller_75,silver,2022-10-22,UK,False,466
S0076,Seller_76,silver,2022-11-29,UK,False,428
S0077,Seller_77,silver,2022-11-20,US,True,437
S0078,Seller_78,bronze,2023-07-14,CA,True,201
S0079,Seller_79,bronze,2023-04-19,US,True,287
S0080,Seller_80,bronze,2023-03-23,UK,True,314
S0081,Seller_81,gold,2022-11-28,US,True,429
S0082,Seller_82,silver,2022-11-15,US,True,442
S0083,Seller_83,bronze,2023-01-08,US,False,388
S0084,Seller_84,bronze,2023-07-23,US,True,192
S0085,Seller_85,bronze,2023-08-27,US,True,157
S0086,Seller_86,bronze,2023-08-09,US,False,175
S0087,Seller_87,silver,2023-07-12,DE,False,203
S0088,Seller_88,silver,2023-02-18,US,False,347
S0089,Seller_89,gold,2023-06-14,US,True,231
S0090,Seller_90,bronze,2023-01-18,CA,True,378
S0091,Seller_91,bronze,2023-03-04,CA,True,333
S0092,Seller_92,silver,2023-01-24,US,True,372
S0093,Seller_93,silver,2023-01-16,UK,True,380
S0094,Seller_94,silver,2022-10-15,UK,True,473
S0095,Seller_95,silver,2023-05-24,US,True,252
S0096,Seller_96,bronze,2023-09-10,AU,True,143
S0097,Seller_97,silver,2023-05-12,AU,True,264
S0098,Seller_98,bronze,2023-06-08,US,True,237
S0099,Seller_99,bronze,2023-08-27,US,True,157
S0100,Seller_100,bronze,2023-09-04,AU,True,149
S0101,Seller_101,bronze,2022-12-21,UK,True,406
S0102,Seller_102,silver,2023-02-19,UK,True,346
S0103,Seller_103,bronze,2022-12-14,UK,True,413
S0104,Seller_104,silver,2022-09-10,UK,True,508
S0105,Seller_105,gold,2023-01-31,AU,True,365
S0106,Seller_106,bronze,2023-08-14,AU,True,170
S0107,Seller_107,bronze,2023-08-18,AU,True,166
S0108,Seller_108,silver,2022-08-30,UK,False,519
S0109,Seller_109,bronze,2023-04-03,CA,True,303
S0110,Seller_110,bronze,2023-01-13,UK,True,383
S0111,Seller_111,bronze,2022-09-15,UK,False,503
S0112,Seller_112,bronze,2023-03-26,US,True,311
S0113,Seller_113,gold,2023-08-08,CA,False,176
S0114,Seller_114,gold,2022-09-28,CA,True,490
S0115,Seller_115,silver,2023-04-29,UK,True,277
S0116,Seller_116,gold,2023-05-18,CA,True,258
S0117,Seller_117,gold,2022-09-04,UK,False,514
S0118,Seller_118,bronze,2023-03-22,US,True,315
S0119,Seller_119,gold,2023-05-12,US,False,264
S0120,Seller_120,silver,2023-05-21,US,True,255
S0121,Seller_121,gold,2022-11-13,US,False,444
S0122,Seller_122,gold,2023-05-19,US,True,257
S0123,Seller_123,bronze,2023-08-10,UK,False,174
S0124,Seller_124,bronze,2023-06-21,US,True,224
S0125,Seller_125,bronze,2023-06-08,UK,True,237
S0126,Seller_126,bronze,2023-01-02,US,True,394
S0127,Seller_127,gold,2022-08-12,UK,True,537
S0128,Seller_128,gold,2022-09-12,US,True,506
S0129,Seller_129,bronze,2023-02-16,US,True,349
S0130,Seller_130,silver,2022-09-26,UK,True,492
S0131,Seller_131,bronze,2022-08-25,UK,True,524
S0132,Seller_132,bronze,2023-01-27,US,False,369
S0133,Seller_133,bronze,2023-03-16,AU,False,321
S0134,Seller_134,bronze,2023-01-13,US,True,383
S0135,Seller_135,gold,2022-09-23,US,False,495
S0136,Seller_136,bronze,2023-08-16,DE,False,168
S0137,Seller_137,silver,2022-08-14,UK,True,535
S0138,Seller_138,silver,2022-11-15,US,True,442
S0139,Seller_139,bronze,2023-08-23,UK,True,161
S0140,Seller_140,platinum,2023-03-29,UK,True,308
S0141,Seller_141,platinum,2022-09-14,CA,True,504
S0142,Seller_142,bronze,2023-05-15,US,True,261
S0143,Seller_143,bronze,2023-07-23,US,False,192
S0144,Seller_144,bronze,2023-06-06,UK,False,239
S0145,Seller_145,bronze,2023-02-05,AU,True,360
S0146,Seller_146,bronze,2022-11-11,UK,True,446
S0147,Seller_147,silver,2022-11-15,US,True,442
S0148,Seller_148,silver,2023-02-12,UK,True,353
S0149,Seller_149,bronze,2022-12-02,CA,True,425
S0150,Seller_150,bronze,2023-02-15,US,False,350
